,gen_loss,dis_loss,feature_loss,dis_acc
0,0.638342977,0.671277404,97.77669525,0.327256948
1,0.519631088,0.523200586,102.0428162,0.436631948
2,0.505896986,0.404306769,61.81182861,0.486111104
3,0.805404544,0.394640282,52.12100601,0.497395843
4,0.568675041,0.364511672,48.25353622,0.5
5,0.680096745,0.306617666,32.62524414,0.5
6,0.837089062,0.299737403,38.72951889,0.5
7,0.544530869,0.326488126,30.58366585,0.5
8,0.648124218,0.285810431,33.54548645,0.5
9,0.684025884,0.286483234,32.23737335,0.5
10,0.700406015,0.311025597,23.91119576,0.5
11,2.286557913,0.279884047,33.84959412,0.5
12,0.752423823,0.346953921,23.14051247,0.5
13,0.729728162,0.285200335,25.02818108,0.5
14,1.365380168,0.267405583,23.62295151,0.5
15,2.187755823,0.272232986,34.3950119,0.5
16,0.61441201,0.272404199,27.45923615,0.5
17,2.180918932,0.294086566,36.11772156,0.5
18,0.5982849,0.424269408,28.87786102,0.5
19,0.624981165,0.328496635,27.20779991,0.495659709
20,0.723401606,0.316624578,16.19965172,0.5
21,0.63929534,0.312068822,25.65897369,0.5
22,0.802552938,0.271863683,23.30822754,0.5
23,0.693509996,0.297037892,14.71219921,0.5
24,1.408359528,0.304524444,23.36837006,0.5
25,1.608585119,0.30161524,20.20724487,0.5
26,1.161431909,0.334128838,25.52694321,0.5
27,0.761772811,0.373289905,25.05099869,0.5
28,1.120320439,0.353426456,22.30683327,0.5
29,0.611010849,0.350010056,21.57212067,0.5
30,0.827896893,0.296536356,19.91867447,0.5
31,0.737932622,0.294889541,21.47409439,0.5
32,0.596011996,0.294539573,27.32854271,0.5
33,0.52818054,0.376536202,17.3667202,0.5
34,2.202273369,0.311629344,21.15059471,0.493923604
35,4.669312477,0.283555893,12.78950596,0.5
36,1.619395614,0.335740071,18.62922668,0.5
37,0.925506294,0.355476126,17.27253914,0.5
38,2.401099205,0.299949743,20.78649902,0.5
39,1.603996515,0.297666039,21.36468124,0.5
40,1.508200288,0.296416908,14.32352352,0.5
41,1.477845311,0.294478627,18.53110123,0.5
42,1.762796521,0.342684649,18.36041641,0.5
43,0.625150084,0.356257111,19.13212013,0.5
44,0.795873642,0.311168063,18.40834808,0.5
45,1.183179855,0.298930859,19.96786499,0.5
46,0.828618765,0.284197181,17.93616486,0.5
47,1.656642199,0.276758239,19.46056557,0.5
48,3.228720188,0.278298022,15.41358089,0.5
49,2.3805511,0.28671566,15.2463274,0.5
50,3.016470909,0.268860046,19.13506317,0.5
51,3.928559303,0.265326964,17.8330574,0.5
52,4.997533798,0.284345174,13.46313,0.5
53,0.773449838,0.424115065,14.92644596,0.5
54,0.730779827,0.310089473,17.18326187,0.5
55,0.686788797,0.335772328,17.01907158,0.5
56,0.759629965,0.301931795,17.06309509,0.5
57,0.722866774,0.287313035,16.38299179,0.5
58,0.710396528,0.290573312,16.85522079,0.5
59,0.728542387,0.284702813,19.2270546,0.5
60,0.705407858,0.282482948,13.54732895,0.5
61,0.738380015,0.284462048,15.85612011,0.5
62,0.809938312,0.275206905,16.81591034,0.5
63,0.877438128,0.272635452,13.74001503,0.5
64,0.765324235,0.347318653,16.94027901,0.5
65,0.862876773,0.288908407,17.14672661,0.5
66,0.569233835,0.323552794,15.83017635,0.5
67,0.596424043,0.27877176,18.12431145,0.5
68,0.714458346,0.285711086,16.62267685,0.5
69,0.696363211,0.302662517,23.8642807,0.5
70,0.650224149,0.308522001,14.79419994,0.5
71,0.649935663,0.279755748,25.6128006,0.5
72,0.783689916,0.280164467,19.8532486,0.5
73,0.790636122,0.284661332,17.28993416,0.5
74,0.825702906,0.27505728,17.65076065,0.5
75,0.795001149,0.267378504,16.96775246,0.5
76,0.837950408,0.268052611,16.33510971,0.5
77,0.743126988,0.273562043,18.62649155,0.5
78,0.756609201,0.267365296,14.78152084,0.5
79,0.708968282,0.272127545,15.88023853,0.5
80,0.756489277,0.267591234,16.39950943,0.5
81,0.703914225,0.268776889,16.42824745,0.5
82,0.742347658,0.266074981,14.10501099,0.5
83,0.674522638,0.276277928,14.93325424,0.5
84,0.739300549,0.266894659,13.16039848,0.5
85,0.809151113,0.267252794,15.08978271,0.5
86,0.82612139,0.264253533,12.36329842,0.5
87,0.698702097,0.266390096,10.70889568,0.5
88,0.779866338,0.264438252,11.73851013,0.5
89,0.833711326,0.260940613,16.86808205,0.5
90,0.642701089,0.323045837,10.90363503,0.5
91,0.81703794,0.277751606,18.02927399,0.5
92,0.713445783,0.284610704,15.95937443,0.5
93,0.683746755,0.270007554,13.17492485,0.5
94,0.644471586,0.268439665,14.9842701,0.5
95,0.811309993,0.273305538,15.52912521,0.5
96,0.752695084,0.27487482,12.27771378,0.5
97,0.789583445,0.267527078,16.93163681,0.5
