,accuracy,val_accuracy,loss,val_loss,psnr,val_psnr,ssim,val_ssim
0,0.332688391,0.317995846,0.15081957,0.13288781,14.66067314,15.38702106,0.083222806,0.106016405
1,0.334698886,0.333887339,0.120904803,0.116616011,16.26750374,16.4327755,0.12541917,0.117640384
2,0.333280236,0.340298176,0.112300627,0.108300231,16.80446053,17.0533638,0.137916133,0.125672877
3,0.332358092,0.342217326,0.107848629,0.097957343,17.08805656,17.90578461,0.144266769,0.134730071
4,0.331748158,0.320197344,0.10510128,0.093149364,17.25318336,18.34243774,0.148091137,0.13936536
5,0.331377566,0.322161853,0.103138797,0.091347411,17.36570358,18.48894119,0.150865436,0.142787308
6,0.331183761,0.320824891,0.101878636,0.090283856,17.43460083,18.58384705,0.152686223,0.144642696
7,0.331409395,0.320055574,0.101044305,0.089754641,17.4789238,18.62187767,0.153870508,0.14568992
8,0.331540525,0.320688337,0.100501269,0.089414597,17.50798225,18.64633751,0.154631734,0.1464075
9,0.332103044,0.327440262,0.10011296,0.089175254,17.52923012,18.65992737,0.15516226,0.146916613
10,0.332225561,0.316307664,0.099799886,0.088986821,17.54668427,18.67520332,0.155571327,0.147299454
11,0.332296997,0.324732274,0.0995332,0.088756241,17.56218338,18.68479729,0.155914009,0.148370832
12,0.332160771,0.326092809,0.099277601,0.088640153,17.5776329,18.69572067,0.156229377,0.148661911
13,0.332122415,0.327547699,0.09903349,0.088589244,17.59301186,18.70640373,0.156534776,0.148791283
14,0.331837833,0.320373803,0.098788202,0.088436209,17.60857964,18.71546555,0.156827793,0.149350122
15,0.331589699,0.321940124,0.098542511,0.088196576,17.62481499,18.73092842,0.157123566,0.149667591
16,0.331814438,0.32081303,0.098299541,0.08803647,17.64204025,18.7427597,0.157424763,0.150123164
17,0.33204627,0.318120629,0.098048814,0.08775939,17.66108513,18.76103401,0.157741413,0.150351122
18,0.331722111,0.318230808,0.097801067,0.087576061,17.68028259,18.77745247,0.158041298,0.150535673
19,0.331794679,0.329012781,0.097572438,0.087348379,17.69786072,18.79137993,0.15832004,0.150853917
20,0.331781924,0.328562409,0.097366415,0.087191932,17.71366501,18.80340195,0.158571824,0.150890172
21,0.331706941,0.333486646,0.097182944,0.087092392,17.72758102,18.81101418,0.158797756,0.151158512
22,0.332031935,0.330313355,0.097008154,0.086995736,17.7408371,18.8188076,0.159001574,0.150992781
23,0.332386345,0.327556342,0.096842013,0.086929157,17.75341225,18.82284355,0.159197688,0.151202351
24,0.332414359,0.323860079,0.096695639,0.086850643,17.76450348,18.82640648,0.159368053,0.151534259
25,0.332695574,0.328228027,0.096549191,0.086786792,17.77577019,18.83034134,0.159536749,0.151480734
26,0.332776994,0.338347048,0.096408337,0.086755641,17.78653908,18.83442307,0.159696653,0.151507452
27,0.332828581,0.333077878,0.096273042,0.086717166,17.79716873,18.83519363,0.159854054,0.151546642
28,0.332906187,0.331061482,0.096152931,0.086693935,17.80670929,18.83814621,0.159991547,0.151599661
29,0.333238035,0.325983673,0.096017122,0.086661935,17.81740952,18.83853912,0.160139203,0.151528686
30,0.333488882,0.328240573,0.095895737,0.086646013,17.82714272,18.83628464,0.160280481,0.151588917
31,0.333702296,0.335047036,0.095776789,0.086632788,17.83688545,18.83750153,0.160410866,0.151642054
32,0.333531588,0.339382201,0.095647283,0.086626604,17.84734535,18.83688736,0.1605542,0.15167135
33,0.333951384,0.331504911,0.095530324,0.086627573,17.8570919,18.83683014,0.160688698,0.151657939
34,0.333963662,0.320975035,0.095405012,0.086626686,17.86740303,18.83421135,0.160822168,0.151709914
35,0.334088653,0.329038799,0.095285945,0.08664906,17.877388,18.83266258,0.160957247,0.151702672
36,0.333798289,0.345281541,0.095159769,0.086661227,17.88813782,18.82490921,0.161096185,0.151766255
37,0.334290951,0.319400251,0.09503831,0.086656585,17.89847565,18.82514572,0.161230311,0.151937351
38,0.334298223,0.325478256,0.094918139,0.086666867,17.9088726,18.82522202,0.161361769,0.151856989
39,0.334813595,0.324888766,0.094800331,0.086690687,17.91911507,18.82348442,0.161489785,0.15186806
40,0.335257709,0.303115666,0.094673067,0.086718477,17.93016624,18.82125664,0.161624402,0.15188089
41,0.335325539,0.337022454,0.094544232,0.086737998,17.94138527,18.81750488,0.161766708,0.151931256
42,0.335959435,0.349618584,0.094423175,0.086746715,17.95232201,18.81611061,0.161901712,0.15215309
43,0.336830437,0.314373314,0.094297878,0.086794652,17.96347618,18.81431389,0.162041038,0.151929706
44,0.33763507,0.361661047,0.094159901,0.086826459,17.97563744,18.8054409,0.162189946,0.152216956
45,0.337213635,0.332862467,0.094040208,0.086854652,17.98674965,18.80532074,0.162327632,0.152043462
46,0.337759733,0.346587151,0.09391208,0.086884022,17.99833107,18.80098915,0.162462726,0.152282491
47,0.337683767,0.353619486,0.093791492,0.086939886,18.00967598,18.79758453,0.162601963,0.152014956
48,0.339457244,0.34830296,0.093655899,0.086975314,18.02199364,18.79531288,0.162748381,0.152142093
49,0.340104878,0.351370573,0.093507364,0.087035351,18.03552055,18.78751945,0.162912011,0.152055427
