,accuracy,val_accuracy,loss,val_loss,psnr,val_psnr,ssim,val_ssim
7,0.3089674115180969,0.3085777461528778,9.173087120056152,7.142511367797852,17.466129302978516,18.54486846923828,0.14918479323387146,0.1413964480161667
8,0.306441068649292,0.3059532642364502,9.087679862976074,7.098928928375244,17.507278442382812,18.570051193237305,0.15000441670417786,0.14174459874629974
9,0.3039539158344269,0.3084685802459717,9.017077445983887,7.044064044952393,17.542295455932617,18.60747718811035,0.15065617859363556,0.14279183745384216
10,0.30138057470321655,0.3032410442829132,8.96965503692627,7.010271072387695,17.56554412841797,18.629486083984375,0.15112243592739105,0.1435304582118988
11,0.2990594208240509,0.3047996163368225,8.925592422485352,6.986978530883789,17.587677001953125,18.644350051879883,0.1515255868434906,0.14386242628097534
12,0.2973614037036896,0.30325132608413696,8.884283065795898,6.958510875701904,17.608203887939453,18.662181854248047,0.15190279483795166,0.1447245180606842
13,0.29636478424072266,0.30663052201271057,8.842436790466309,6.933811664581299,17.6287784576416,18.677175521850586,0.1522636115550995,0.14535701274871826
14,0.2958185076713562,0.3104771077632904,8.799983024597168,6.915978908538818,17.64931297302246,18.687849044799805,0.1526254117488861,0.14529770612716675
15,0.29617998003959656,0.3084968030452728,8.7506685256958,6.882030487060547,17.673290252685547,18.706195831298828,0.15302559733390808,0.14567743241786957
16,0.2958964705467224,0.3072409927845001,8.697477340698242,6.845870018005371,17.69874382019043,18.727783203125,0.15344814956188202,0.14623147249221802
17,0.2946889102458954,0.3080637753009796,8.647467613220215,6.814873218536377,17.722654342651367,18.746543884277344,0.15383678674697876,0.1468382328748703
18,0.2928924262523651,0.3136339783668518,8.604118347167969,6.795702934265137,17.74356460571289,18.757530212402344,0.15418921411037445,0.14723065495491028
19,0.2906063497066498,0.3152811825275421,8.565635681152344,6.7779927253723145,17.762393951416016,18.76723289489746,0.15449492633342743,0.14778436720371246
20,0.2879331707954407,0.3150728940963745,8.53210735321045,6.772346496582031,17.778888702392578,18.768949508666992,0.15476727485656738,0.1479291021823883
21,0.2851395606994629,0.31327956914901733,8.502106666564941,6.756063461303711,17.793806076049805,18.780433654785156,0.15500447154045105,0.14790695905685425
22,0.28201499581336975,0.3159642517566681,8.474034309387207,6.751802921295166,17.807910919189453,18.781898498535156,0.15522989630699158,0.14802365005016327
23,0.2786857485771179,0.31008604168891907,8.44708251953125,6.745543956756592,17.821531295776367,18.78580093383789,0.15544423460960388,0.14798927307128906
24,0.275161474943161,0.30846092104911804,8.42224407196045,6.737941265106201,17.834102630615234,18.790878295898438,0.15564651787281036,0.14791077375411987
