,SRCNN,FSRCNN,VDSR,SwinIR,DenseSTSR,,SRCNN_val,FSRCNN_val,VDSR_val,SwinIR_val,DenseSTSR_val
0,5.745184422,6.732146263,9.387071609,12.66567612,14.66067314,,6.363536835,9.387071609,17.03248596,13.44265842,15.38702106
1,7.352933884,12.08005238,14.18244934,13.49513721,16.26750374,,8.316561699,14.18244934,17.60985565,14.0956955,16.4327755
2,9.476441383,14.09477997,14.83324718,14.15598774,16.80446053,,10.69476891,14.83324718,17.92058372,15.44628716,17.0533638
3,11.78578568,14.51072788,15.20797539,16.28429413,17.08805656,,13.17294312,15.20797539,18.10302162,17.82060242,17.90578461
4,13.87296391,14.81890011,15.53271294,17.08930397,17.25318336,,15.14032173,15.53271294,18.23169518,18.21374702,18.34243774
5,15.14310837,15.09877968,15.83906555,17.29427719,17.36570358,,16.09471703,15.83906555,18.32249069,18.38720894,18.48894119
6,15.68920422,15.37781429,16.15534592,17.39032936,17.43460083,,16.49105072,16.15534592,18.38803673,18.47562981,18.58384705
7,15.91297245,15.68417645,16.50634193,17.45056152,17.4789238,,16.65214157,16.50634193,18.43704224,18.5300045,18.62187767
8,16.01146698,15.9818325,16.79807663,17.49031258,17.50798225,,16.73164177,16.79807663,18.47584152,18.54716492,18.64633751
9,16.07132721,16.20352364,17.02028465,17.51529694,17.52923012,,16.79295349,17.02028465,18.50629234,18.54788208,18.65992737
10,16.13673592,16.38358307,17.20494461,17.53487968,17.54668427,,16.87903214,17.20494461,18.53007317,18.54064369,18.67520332
11,16.2132988,16.53452492,17.36497879,17.55070496,17.56218338,,16.96793175,17.36497879,18.54896164,18.529562,18.68479729
12,16.28795433,16.66370583,17.50493431,17.56360817,17.5776329,,17.05907631,17.50493431,18.56599236,18.5182724,18.69572067
13,16.38968468,16.77676392,17.62798882,17.5749836,17.59301186,,17.19548225,17.62798882,18.58333015,18.52990913,18.70640373
14,16.47141075,16.87626076,17.73439407,17.58395195,17.60857964,,17.27593422,17.73439407,18.60086632,18.54313087,18.71546555
15,16.53474045,16.96311951,17.82630157,17.59101868,17.62481499,,17.3461647,17.82630157,18.61673927,18.55265045,18.73092842
16,16.5922184,17.03758621,17.90425301,17.59810448,17.64204025,,17.41737747,17.90425301,18.63026619,18.57026482,18.7427597
17,16.65775299,17.10095024,17.96908569,17.60439682,17.66108513,,17.49430275,17.96908569,18.64149666,18.57505035,18.76103401
18,16.71495056,17.15481567,18.02266884,17.60976982,17.68028259,,17.55467796,18.02266884,18.6511898,18.58996391,18.77745247
19,16.7611351,17.20069504,18.06746483,17.61610794,17.69786072,,17.60600853,18.06746483,18.65969849,18.60507202,18.79137993
20,16.80110931,17.23997307,18.10567856,17.62218285,17.71366501,,17.65150452,18.10567856,18.66712952,18.62191772,18.80340195
21,16.83667755,17.27404022,18.13888168,17.62931633,17.72758102,,17.69254303,18.13888168,18.67357826,18.63173485,18.81101418
22,16.86869812,17.30401421,18.16832542,17.63542175,17.7408371,,17.72982407,18.16832542,18.67922783,18.63884735,18.8188076
23,16.89780426,17.33072281,18.19482613,17.64125824,17.75341225,,17.7640686,18.19482613,18.6840992,18.6415081,18.82284355
24,16.92479515,17.35484314,18.21885109,17.64678955,17.76450348,,17.79636383,18.21885109,18.68840408,18.64349365,18.82640648
25,16.9502964,17.37676811,18.24062157,17.65329361,17.77577019,,17.82702827,18.24062157,18.69218063,18.64721298,18.83034134
26,16.97511482,17.39682961,18.26032448,17.6593914,17.78653908,,17.85741806,18.26032448,18.69560432,18.64913368,18.83442307
27,16.99899101,17.41525269,18.27820587,17.66662979,17.79716873,,17.88549232,18.27820587,18.69874573,18.65457726,18.83519363
28,17.02127647,17.43229103,18.29461288,17.67318916,17.80670929,,17.91205215,18.29461288,18.70172691,18.65260315,18.83814621
29,17.04250908,17.44815063,18.30966568,17.68091965,17.81740952,,17.93733978,18.30966568,18.70471191,18.65537071,18.83853912
30,17.06276512,17.46299362,18.32355118,17.68843269,17.82714272,,17.96142197,18.32355118,18.70788002,18.6602726,18.83628464
31,17.08207512,17.4769249,18.33641624,17.69665337,17.83688545,,17.98433304,18.33641624,18.71134567,18.66285133,18.83750153
32,17.10042572,17.49004173,18.3482933,17.70491982,17.84734535,,18.00609207,18.3482933,18.71535683,18.66615868,18.83688736
33,17.11782265,17.50240135,18.35917282,17.71574593,17.8570919,,18.02669716,18.35917282,18.71989441,18.67007828,18.83683014
34,17.13427353,17.51403427,18.36914444,17.72665215,17.86740303,,18.04615974,18.36914444,18.72488594,18.66846657,18.83421135
35,17.14982796,17.52500534,18.37837219,17.73851395,17.877388,,18.06454086,18.37837219,18.73004723,18.66913223,18.83266258
36,17.1645813,17.53536987,18.38692284,17.75107574,17.88813782,,18.08200836,18.38692284,18.73492622,18.6750927,18.82490921
37,17.1787529,17.54519463,18.39487076,17.7617588,17.89847565,,18.09887695,18.39487076,18.73898697,18.67521095,18.82514572
38,17.19242287,17.55451965,18.40223694,17.77304077,17.9088726,,18.11513901,18.40223694,18.74221802,18.68204308,18.82522202
39,17.20552254,17.56338501,18.40904045,17.78323746,17.91911507,,18.13056564,18.40904045,18.74495316,18.67913818,18.82348442
40,17.21797562,17.57182884,18.41535187,17.79242706,17.93016624,,18.14519119,18.41535187,18.74745178,18.68130493,18.82125664
41,17.22984314,17.57989502,18.421175,17.80312347,17.94138527,,18.15922165,18.421175,18.74978256,18.68696976,18.81750488
42,17.2412796,17.58760643,18.42656898,17.81384277,17.95232201,,18.17290688,18.42656898,18.75200462,18.69883919,18.81611061
43,17.2524929,17.59500122,18.43154144,17.82254982,17.96347618,,18.1866188,18.43154144,18.75396729,18.70252991,18.81431389
44,17.26369667,17.60210228,18.43615532,17.83167267,17.97563744,,18.20055771,18.43615532,18.75576019,18.71678543,18.8054409
45,17.27481651,17.60894203,18.4404335,17.84049416,17.98674965,,18.21431732,18.4404335,18.75741386,18.72641945,18.80532074
46,17.28561401,17.61554337,18.44438934,17.84615898,17.99833107,,18.2276268,18.44438934,18.75886726,18.7432518,18.80098915
47,17.29592133,17.62192345,18.44805527,17.8536129,18.00967598,,18.24025345,18.44805527,18.7601223,18.75479317,18.79758453
48,17.30560303,17.62810326,18.45143509,17.86604691,18.02199364,,18.25194931,18.45143509,18.76136398,18.75265694,18.79531288
49,17.3145771,17.63409996,18.45456505,17.8764782,18.03552055,,18.26266098,18.45456505,18.76249886,18.7486496,18.78751945
